board,turn,move_num,result,result_scaled,result_scaled_tempo
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,True,2,1,8.543,8.543
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,False,2,1,8.543,8.543
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,True,3,1,8.543,8.543
rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,False,3,1,8.543,8.543
rnbqk1nr/pppp1ppp/8/8/1b1pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,True,4,1,8.543,8.543
rnbqk1nr/pppp1ppp/8/8/1b1pP3/5N2/PPPN1PPP/R1BQKB1R b KQkq - 3 4,False,4,1,8.543,8.543
r1bqk1nr/pppp1ppp/2n5/8/1b1pP3/5N2/PPPN1PPP/R1BQKB1R w KQkq - 4 5,True,5,1,8.543,8.543
r1bqk1nr/pppp1ppp/2n5/1B6/1b1pP3/5N2/PPPN1PPP/R1BQK2R b KQkq - 5 5,False,5,1,8.543,8.543
r1bqk1nr/1ppp1ppp/p1n5/1B6/1b1pP3/5N2/PPPN1PPP/R1BQK2R w KQkq - 0 6,True,6,1,8.543,8.543
r1bqk1nr/1ppp1ppp/p1n5/8/1b1pP3/3B1N2/PPPN1PPP/R1BQK2R b KQkq - 1 6,False,6,1,8.543,8.543
r1bqk1nr/1pp2ppp/p1n5/3p4/1b1pP3/3B1N2/PPPN1PPP/R1BQK2R w KQkq - 0 7,True,7,1,8.543,8.543
r1bqk1nr/1pp2ppp/p1n5/3p4/1b1pP3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq - 1 7,False,7,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n2n2/3p4/1b1pP3/3B1N2/PPPN1PPP/R1BQ1RK1 w kq - 2 8,True,8,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n2n2/3pP3/1b1p4/3B1N2/PPPN1PPP/R1BQ1RK1 b kq - 0 8,False,8,1,8.543,8.543
r1bqk2r/1ppn1ppp/p1n5/3pP3/1b1p4/3B1N2/PPPN1PPP/R1BQ1RK1 w kq - 1 9,True,9,1,8.543,8.543
r1bqk2r/1ppn1ppp/p1n5/3pP3/1b1p4/3B1N2/PPPN1PPP/R1BQR1K1 b kq - 2 9,False,9,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/2npP3/1b1p4/3B1N2/PPPN1PPP/R1BQR1K1 w kq - 3 10,True,10,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/2npP3/1b1p4/P2B1N2/1PPN1PPP/R1BQR1K1 b kq - 0 10,False,10,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/3pP3/1b1p4/P2n1N2/1PPN1PPP/R1BQR1K1 w kq - 0 11,True,11,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/3pP3/1b1p4/P2P1N2/1P1N1PPP/R1BQR1K1 b kq - 0 11,False,11,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/b2pP3/3p4/P2P1N2/1P1N1PPP/R1BQR1K1 w kq - 1 12,True,12,1,8.543,8.543
r1bqk2r/1pp2ppp/p1n5/b2pP3/1P1p4/P2P1N2/3N1PPP/R1BQR1K1 b kq - 0 12,False,12,1,8.543,8.543
r1bqk2r/1pp2ppp/pbn5/3pP3/1P1p4/P2P1N2/3N1PPP/R1BQR1K1 w kq - 1 13,True,13,1,8.543,8.543
r1bqk2r/1pp2ppp/pbn5/3pP3/1P1p4/PN1P1N2/5PPP/R1BQR1K1 b kq - 2 13,False,13,1,8.543,8.543
r1bqk2r/1pp2pp1/pbn4p/3pP3/1P1p4/PN1P1N2/5PPP/R1BQR1K1 w kq - 0 14,True,14,1,8.543,8.543
r1bqk2r/1pp2pp1/pbn4p/3pP3/1P1p4/PN1P1N1P/5PP1/R1BQR1K1 b kq - 0 14,False,14,1,8.543,8.543
r1bq1rk1/1pp2pp1/pbn4p/3pP3/1P1p4/PN1P1N1P/5PP1/R1BQR1K1 w - - 1 15,True,15,1,8.543,8.543
r1bq1rk1/1pp2pp1/pbn4p/3pP3/1P1p1B2/PN1P1N1P/5PP1/R2QR1K1 b - - 2 15,False,15,1,8.543,8.543
r1bq1rk1/1pp3p1/pbn2p1p/3pP3/1P1p1B2/PN1P1N1P/5PP1/R2QR1K1 w - - 0 16,True,16,1,8.543,8.543
r1bq1rk1/1pp3p1/pbn2p1p/3pP3/1P1p4/PN1P1N1P/5PPB/R2QR1K1 b - - 1 16,False,16,1,8.543,8.543
r1bq1rk1/1pp3p1/pbn4p/3pp3/1P1p4/PN1P1N1P/5PPB/R2QR1K1 w - - 0 17,True,17,1,8.543,8.543
r1bq1rk1/1pp3p1/pbn4p/3pN3/1P1p4/PN1P3P/5PPB/R2QR1K1 b - - 0 17,False,17,1,8.543,8.543
r1b2rk1/1pp3p1/pbn2q1p/3pN3/1P1p4/PN1P3P/5PPB/R2QR1K1 w - - 1 18,True,18,1,8.543,8.543
r1b2rk1/1pp3p1/pbn2q1p/3pN3/1P1p4/PN1P3P/3Q1PPB/R3R1K1 b - - 2 18,False,18,1,8.543,8.543
r1b2rk1/1pp3p1/pb3q1p/3pn3/1P1p4/PN1P3P/3Q1PPB/R3R1K1 w - - 0 19,True,19,1,8.543,8.543
r1b2rk1/1pp3p1/pb3q1p/3pB3/1P1p4/PN1P3P/3Q1PP1/R3R1K1 b - - 0 19,False,19,1,8.543,8.543
r1b2rk1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P3P/3Q1PP1/R3R1K1 w - - 1 20,True,20,1,8.543,8.543
r1b2rk1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P3P/3Q1PP1/R3R2K b - - 2 20,False,20,1,8.543,8.543
r4rk1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P3b/3Q1PP1/R3R2K w - - 0 21,True,21,1,8.543,8.543
r4rk1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P3P/3Q1P2/R3R2K b - - 0 21,False,21,1,8.543,8.543
r5k1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P1r1P/3Q1P2/R3R2K w - - 1 22,True,22,1,8.543,8.543
r5k1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P1r1P/3Q1P2/R5RK b - - 2 22,False,22,1,8.543,8.543
r5k1/1pp3p1/pb4qp/3pB3/1P1p4/PN1P3r/3Q1P2/R5RK w - - 0 23,True,23,1,8.543,8.543
r5k1/1pp3p1/pb4qp/3p4/1P1p4/PN1P3r/3Q1P1B/R5RK b - - 1 23,False,23,1,8.543,8.543
r5k1/1pp3p1/pb5p/3p4/1P1p4/PN1q3r/3Q1P1B/R5RK w - - 0 24,True,24,1,8.543,8.543
r5k1/1pp3p1/pb5p/3p4/1P1p4/PN1Q3r/5P1B/R5RK b - - 0 24,False,24,1,8.543,8.543
