board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
r1bqk2r/pp2pp1p/6p1/8/3b2n1/1BN4N/PPP2PPP/R2QK2R b KQkq - 1 10,0,10,2,0,-3,3,0,0,6,-3,6,-1,-2,-1
r1bqk2r/pp2pp1p/5np1/8/3b4/1BN4N/PPP2PPP/R2QK2R w KQkq - 2 11,1,11,0,0,3,-3,0,0,-3,3,-6,1,3,1
r1bqk2r/pp2pp1p/5np1/8/3b1N2/1BN5/PPP2PPP/R2QK2R b KQkq - 3 11,0,11,2,0,-3,3,0,0,2,-7,6,-1,-3,-1
r1bqk2r/pp3p1p/5np1/4p3/3b1N2/1BN5/PPP2PPP/R2QK2R w KQkq - 0 12,1,12,0,0,3,-3,0,0,-2,7,-5,1,2,0
r1bqk2r/pp3p1p/5np1/4p3/3b1N2/1BN5/PPP1QPPP/R3K2R b KQkq - 1 12,0,12,2,0,-3,3,0,0,1,-6,5,-2,-6,-1
r1b1k2r/pp3p1p/5np1/q3p3/3b1N2/1BN5/PPP1QPPP/R3K2R w KQkq - 2 13,1,13,0,0,3,-3,0,0,0,0,-5,2,1,0
r1b1k2r/pp3p1p/5np1/q3p3/3b1N2/1BN5/PPP1QPPP/2KR3R b kq - 3 13,0,13,2,0,-3,3,0,0,0,-5,5,-6,-1,3
r1b1k2r/pp3p1p/5np1/q3p3/5N2/1Bb5/PPP1QPPP/2KR3R w kq - 0 14,1,14,0,0,0,-3,0,0,1,0,-5,10,2,-2
r1b1k2r/pp3p1p/5np1/q3p3/2Q2N2/1Bb5/PPP2PPP/2KR3R b kq - 1 14,0,14,2,0,0,3,0,0,0,-1,9,-10,-6,2
r1b2rk1/pp3p1p/5np1/q3p3/2Q2N2/1Bb5/PPP2PPP/2KR3R w - - 2 15,1,15,0,0,0,-3,0,0,0,1,-9,10,6,-1
r1b2rk1/pp3p1p/5np1/q2Np3/2Q5/1Bb5/PPP2PPP/2KR3R b - - 3 15,0,15,2,0,0,3,0,0,-2,-2,9,-6,-6,1
r1b2rk1/pp3p1p/5np1/q2Np3/2Qb4/1B6/PPP2PPP/2KR3R w - - 4 16,1,16,0,0,0,-3,0,0,2,2,-10,6,-1,-1
r1b2rk1/pp3p1p/5np1/q2Np3/3Q4/1B6/PPP2PPP/2KR3R b - - 0 16,0,16,2,0,0,0,0,0,-2,-2,3,-5,-1,1
r1b2rk1/pp3p1p/5np1/q2N4/3p4/1B6/PPP2PPP/2KR3R w - - 0 17,1,17,0,0,0,0,0,-9,3,2,-3,6,-14,-1
r1b2rk1/pp3p1p/5np1/q2N4/3p4/PB6/1PP2PPP/2KR3R b - - 0 17,0,17,2,0,0,0,0,9,-2,-2,2,-6,13,1
r1b2rk1/pp3p1p/6p1/q2n4/3p4/PB6/1PP2PPP/2KR3R w - - 0 18,1,18,0,0,-3,0,0,-9,0,-8,-1,6,-12,-1
r1b2rk1/pp3p1p/6p1/q2n4/3p4/PB6/1PP2PPP/2KRR3 b - - 1 18,0,18,2,0,3,0,0,9,0,8,1,-10,12,1
r4rk1/pp3p1p/6p1/q2n1b2/3p4/PB6/1PP2PPP/2KRR3 w - - 2 19,1,19,0,0,-3,0,0,-9,1,-8,-4,5,-12,-1
r4rk1/pp3p1p/6p1/q2B1b2/3p4/P7/1PP2PPP/2KRR3 b - - 0 19,0,19,2,0,0,0,0,9,-4,0,-1,-5,13,1
r4rk1/pp3p1p/6p1/3q1b2/3p4/P7/1PP2PPP/2KRR3 w - - 0 20,1,20,0,0,0,-3,0,-9,2,0,-8,5,-15,0
