board,turn,move_num,result
rnb1k2r/1p2qpbp/p2p1np1/2pP4/P7/4PN2/1P2BPPP/RNBQK2R w KQkq - 3 10,1,10,2
rnb1k2r/1p2qpbp/p2p1np1/2pP4/P7/2N1PN2/1P2BPPP/R1BQK2R b KQkq - 4 10,0,10,0
r1b1k2r/1p1nqpbp/p2p1np1/2pP4/P7/2N1PN2/1P2BPPP/R1BQK2R w KQkq - 5 11,1,11,2
r1b1k2r/1p1nqpbp/p2p1np1/P1pP4/8/2N1PN2/1P2BPPP/R1BQK2R b KQkq - 0 11,0,11,0
1rb1k2r/1p1nqpbp/p2p1np1/P1pP4/8/2N1PN2/1P2BPPP/R1BQK2R w KQk - 1 12,1,12,2
1rb1k2r/1p1nqpbp/p2p1np1/P1pP4/8/R1N1PN2/1P2BPPP/2BQK2R b Kk - 2 12,0,12,0
1rb1k2r/3nqpbp/p2p1np1/PppP4/8/R1N1PN2/1P2BPPP/2BQK2R w Kk b6 0 13,1,13,2
1rb1k2r/3nqpbp/pP1p1np1/2pP4/8/R1N1PN2/1P2BPPP/2BQK2R b Kk - 0 13,0,13,0
1rb1k2r/4qpbp/pn1p1np1/2pP4/8/R1N1PN2/1P2BPPP/2BQK2R w Kk - 0 14,1,14,2
1rb1k2r/4qpbp/pn1p1np1/2pP4/8/R1N1PN2/1P2BPPP/2BQ1RK1 b k - 1 14,0,14,0
1rb1k2r/4qpb1/pn1p1np1/2pP3p/8/R1N1PN2/1P2BPPP/2BQ1RK1 w k - 0 15,1,15,2
1rb1k2r/4qpb1/Bn1p1np1/2pP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 b k - 0 15,0,15,0
1r2k2r/1b2qpb1/Bn1p1np1/2pP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 w k - 1 16,1,16,2
1r2k2r/1b2qpb1/1n1p1np1/1BpP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 b k - 2 16,0,16,0
1r2k2r/1b1nqpb1/1n1p2p1/1BpP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 w k - 3 17,1,17,2
1r2k2r/1b1nqpb1/1nBp2p1/2pP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 b k - 4 17,0,17,0
1r3rk1/1b1nqpb1/1nBp2p1/2pP3p/8/R1N1PN2/1P3PPP/2BQ1RK1 w - - 5 18,1,18,2
1r3rk1/Rb1nqpb1/1nBp2p1/2pP3p/8/2N1PN2/1P3PPP/2BQ1RK1 b - - 6 18,0,18,0
1r3rk1/Rb2qpb1/1nBp1np1/2pP3p/8/2N1PN2/1P3PPP/2BQ1RK1 w - - 7 19,1,19,2
1r3rk1/Rb2qpb1/1nBp1np1/2pP3p/8/2NQPN2/1P3PPP/2B2RK1 b - - 8 19,0,19,0
1r1r2k1/Rb2qpb1/1nBp1np1/2pP3p/8/2NQPN2/1P3PPP/2B2RK1 w - - 9 20,1,20,2
1r1r2k1/Rb2qpb1/1nBp1np1/2pP3p/8/2NQPN2/1P3PPP/2BR2K1 b - - 10 20,0,20,0
1rr3k1/Rb2qpb1/1nBp1np1/2pP3p/8/2NQPN2/1P3PPP/2BR2K1 w - - 11 21,1,21,2
1rr3k1/Rb2qpb1/1nBp1np1/2pP3p/4P3/2NQ1N2/1P3PPP/2BR2K1 b - - 0 21,0,21,0
1rr3k1/Rb2qpb1/2Bp1np1/2pP3p/2n1P3/2NQ1N2/1P3PPP/2BR2K1 w - - 1 22,1,22,2
1rr3k1/Rb2qpb1/2Bp1np1/2pP3p/2Q1P3/2N2N2/1P3PPP/2BR2K1 b - - 0 22,0,22,0
1rr3k1/Rb2qpb1/2Bp2p1/2pP3p/2Q1P1n1/2N2N2/1P3PPP/2BR2K1 w - - 1 23,1,23,2
1rr3k1/1R2qpb1/2Bp2p1/2pP3p/2Q1P1n1/2N2N2/1P3PPP/2BR2K1 b - - 0 23,0,23,0
1rr3k1/1q3pb1/2Bp2p1/2pP3p/2Q1P1n1/2N2N2/1P3PPP/2BR2K1 w - - 0 24,1,24,2
1rr3k1/1q3pb1/2Bp2p1/2pP3p/4P1n1/2N2N2/1P3PPP/2BR1QK1 b - - 1 24,0,24,0
1rr3k1/5pb1/1qBp2p1/2pP3p/4P1n1/2N2N2/1P3PPP/2BR1QK1 w - - 2 25,1,25,2
1rr3k1/5pb1/1q1p2p1/2pP3p/B3P1n1/2N2N2/1P3PPP/2BR1QK1 b - - 3 25,0,25,0
1rr3k1/5pb1/1q1p2p1/3P3p/B1p1P1n1/2N2N2/1P3PPP/2BR1QK1 w - - 0 26,1,26,2
1rr3k1/5pb1/1q1p2p1/3P3p/B1p1P1n1/2N2N2/1P3PPP/2BRQ1K1 b - - 1 26,0,26,0
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P1n1/2N2N2/1P3PPP/2BRQ1K1 w - - 2 27,1,27,2
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P1n1/2N2N1P/1P3PP1/2BRQ1K1 b - - 0 27,0,27,0
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P3/2N2N1P/1P3nP1/2BRQ1K1 w - - 0 28,1,28,2
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P3/2N2N1P/1P3nP1/2BRQK2 b - - 1 28,0,28,0
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P3/2Nn1N1P/1P4P1/2BRQK2 w - - 2 29,1,29,2
2r3k1/1r3pb1/1q1p2p1/3P3p/B1p1P3/2Nn1NQP/1P4P1/2BR1K2 b - - 3 29,0,29,0
r5k1/1r3pb1/1q1p2p1/3P3p/B1p1P3/2Nn1NQP/1P4P1/2BR1K2 w - - 4 30,1,30,2
r5k1/1r3pb1/1q1p2p1/3PP2p/B1p5/2Nn1NQP/1P4P1/2BR1K2 b - - 0 30,0,30,0
r5k1/1r3pb1/1q1p2p1/3Pn2p/B1p5/2N2NQP/1P4P1/2BR1K2 w - - 0 31,1,31,2
r5k1/1r3pb1/1q1p2p1/3Pn2p/2p5/2N2NQP/1PB3P1/2BR1K2 b - - 1 31,0,31,0
6k1/1r3pb1/1q1p2p1/3Pn2p/2p5/2N2NQP/1PB3P1/r1BR1K2 w - - 2 32,1,32,2
6k1/1r3pb1/1q1p2p1/3Pn2p/2p5/2N2N1P/1PB3P1/r1BRQK2 b - - 3 32,0,32,0
1r4k1/5pb1/1q1p2p1/3Pn2p/2p5/2N2N1P/1PB3P1/r1BRQK2 w - - 4 33,1,33,2
1r4k1/5pb1/1q1p2p1/3Pn2p/2p1N3/5N1P/1PB3P1/r1BRQK2 b - - 5 33,0,33,0
1r4k1/5pb1/1q1p2p1/3P3p/2p1N3/5n1P/1PB3P1/r1BRQK2 w - - 0 34,1,34,2
1r4k1/5pb1/1q1p2p1/3P3p/2p1N3/5P1P/1PB5/r1BRQK2 b - - 0 34,0,34,0
1r4k1/5p2/1q1p2p1/3Pb2p/2p1N3/5P1P/1PB5/r1BRQK2 w - - 1 35,1,35,2
1r4k1/5p2/1q1p2p1/3Pb2p/2p1NP2/7P/1PB5/r1BRQK2 b - - 0 35,0,35,0
1r4kb/5p2/1q1p2p1/3P3p/2p1NP2/7P/1PB5/r1BRQK2 w - - 1 36,1,36,2
1r4kb/5p2/1q1p2p1/3P1P1p/2p1N3/7P/1PB5/r1BRQK2 b - - 0 36,0,36,0
4r1kb/5p2/1q1p2p1/3P1P1p/2p1N3/7P/1PB5/r1BRQK2 w - - 1 37,1,37,2
4r1kb/5p2/1q1p1Np1/3P1P1p/2p5/7P/1PB5/r1BRQK2 b - - 2 37,0,37,0
4r2b/5pk1/1q1p1Np1/3P1P1p/2p5/7P/1PB5/r1BRQK2 w - - 3 38,1,38,2
4r2b/5pk1/1q1p2p1/3P1P1N/2p5/7P/1PB5/r1BRQK2 b - - 0 38,0,38,0
4r2b/5pk1/1q1p4/3P1P1p/2p5/7P/1PB5/r1BRQK2 w - - 0 39,1,39,2
4r2b/5pk1/1q1p1P2/3P3p/2p5/7P/1PB5/r1BRQK2 b - - 0 39,0,39,0
4r2b/5p2/1q1p1k2/3P3p/2p5/7P/1PB5/r1BRQK2 w - - 0 40,1,40,2
4r2b/5p2/1q1p1k2/3P3p/2p5/6QP/1PB5/r1BR1K2 b - - 1 40,0,40,0
4r2b/5p2/1q1p1k2/3P3p/2p5/6QP/1PB5/2rR1K2 w - - 0 41,1,41,2
4r2b/5p2/1q1p1k2/3P3p/2p4Q/7P/1PB5/2rR1K2 b - - 1 41,0,41,0
4r2b/5p2/1q1p4/3Pk2p/2p4Q/7P/1PB5/2rR1K2 w - - 2 42,1,42,2
4r2b/5p2/1q1p4/3Pk1Qp/2p5/7P/1PB5/2rR1K2 b - - 3 42,0,42,0
4r2b/8/1q1p4/3PkpQp/2p5/7P/1PB5/2rR1K2 w - - 0 43,1,43,2
4r2b/8/1q1p4/3PkQ1p/2p5/7P/1PB5/2rR1K2 b - - 0 43,0,43,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,2
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,0
rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,0,2,2
rnbqkbnr/pp2pppp/8/2ppP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,1,3,0
rnbqkbnr/pp2pppp/8/2ppP3/8/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 3,0,3,2
rn1qkbnr/pp2pppp/8/2ppPb2/8/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 4,1,4,0
rn1qkbnr/pp2pppp/8/2ppPb2/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 2 4,0,4,2
r2qkbnr/pp2pppp/2n5/2ppPb2/8/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 3 5,1,5,0
r2qkbnr/pp2pppp/2n5/2ppPb2/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5,0,5,2
r2qkbnr/pp2pppp/2n5/2ppP3/3P2b1/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,1,6,0
r2qkbnr/pp2pppp/2n5/2ppP3/3P2b1/2P1BN2/PP3PPP/RN1QKB1R b KQkq - 2 6,0,6,2
r2qkbnr/pp2pppp/2n5/3pP3/3p2b1/2P1BN2/PP3PPP/RN1QKB1R w KQkq - 0 7,1,7,0
r2qkbnr/pp2pppp/2n5/3pP3/3p2b1/2P2N2/PP1B1PPP/RN1QKB1R b KQkq - 1 7,0,7,2
r2qkbnr/pp3ppp/2n1p3/3pP3/3p2b1/2P2N2/PP1B1PPP/RN1QKB1R w KQkq - 0 8,1,8,0
r2qkbnr/pp3ppp/2n1p3/3pP3/3p2b1/1QP2N2/PP1B1PPP/RN2KB1R b KQkq - 1 8,0,8,2
rq2kbnr/pp3ppp/2n1p3/3pP3/3p2b1/1QP2N2/PP1B1PPP/RN2KB1R w KQkq - 2 9,1,9,0
rq2kbnr/pp3ppp/2n1p3/3pP3/Q2p2b1/2P2N2/PP1B1PPP/RN2KB1R b KQkq - 3 9,0,9,2
rq2kb1r/pp2nppp/2n1p3/3pP3/Q2p2b1/2P2N2/PP1B1PPP/RN2KB1R w KQkq - 4 10,1,10,0
rq2kb1r/pp2nppp/2n1p3/3pP3/Q2N2b1/2P5/PP1B1PPP/RN2KB1R b KQkq - 0 10,0,10,2
rq2kb1r/pp2npp1/2n1p3/3pP2p/Q2N2b1/2P5/PP1B1PPP/RN2KB1R w KQkq - 0 11,1,11,0
rq2kb1r/pp2npp1/2n1p3/3pP2p/Q2N1Pb1/2P5/PP1B2PP/RN2KB1R b KQkq - 0 11,0,11,2
rq2kb1r/pp2n1p1/2n1pp2/3pP2p/Q2N1Pb1/2P5/PP1B2PP/RN2KB1R w KQkq - 0 12,1,12,0
rq2kb1r/pp2n1p1/2n1pp2/3pP2p/Q2N1Pb1/2P4P/PP1B2P1/RN2KB1R b KQkq - 0 12,0,12,2
rq2kb1r/pp2n1p1/2n1p3/3pp2p/Q2N1Pb1/2P4P/PP1B2P1/RN2KB1R w KQkq - 0 13,1,13,0
