board,turn,move_num,result,result_scaled,result_scaled_tempo
6k1/1r4np/1n6/1Pp5/8/5RP1/4RPKP/8 b - - 4 40,False,40,1,5.6953125,5.6953125
6k1/1r4np/8/1Pp5/n7/5RP1/4RPKP/8 w - - 5 41,True,41,1,5.6953125,5.6953125
6k1/1r4np/8/1Pp5/n3R3/5RP1/5PKP/8 b - - 6 41,False,41,1,5.6953125,5.6953125
6k1/1r4np/1n6/1Pp5/4R3/5RP1/5PKP/8 w - - 7 42,True,42,1,5.6953125,5.6953125
6k1/1r4np/1n3R2/1Pp5/4R3/6P1/5PKP/8 b - - 8 42,False,42,1,5.6953125,5.6953125
6k1/1r4np/5R2/1Ppn4/4R3/6P1/5PKP/8 w - - 9 43,True,43,1,5.6953125,5.6953125
6k1/1r4np/3R4/1Ppn4/4R3/6P1/5PKP/8 b - - 10 43,False,43,1,5.6953125,5.6953125
6k1/1r4np/1n1R4/1Pp5/4R3/6P1/5PKP/8 w - - 11 44,True,44,1,5.6953125,5.6953125
6k1/1r4np/1nR5/1Pp5/4R3/6P1/5PKP/8 b - - 12 44,False,44,1,5.6953125,5.6953125
6k1/1r1n2np/2R5/1Pp5/4R3/6P1/5PKP/8 w - - 13 45,True,45,1,5.6953125,5.6953125
6k1/1r1n2np/2R5/1Pp5/5R2/6P1/5PKP/8 b - - 14 45,False,45,1,5.6953125,5.6953125
1r4k1/3n2np/2R5/1Pp5/5R2/6P1/5PKP/8 w - - 15 46,True,46,1,5.6953125,5.6953125
1r4k1/2Rn2np/8/1Pp5/5R2/6P1/5PKP/8 b - - 16 46,False,46,1,5.6953125,5.6953125
1r3nk1/2R3np/8/1Pp5/5R2/6P1/5PKP/8 w - - 17 47,True,47,1,5.6953125,5.6953125
1r3nk1/2R2Rnp/8/1Pp5/8/6P1/5PKP/8 b - - 18 47,False,47,1,5.6953125,5.6953125
1r2nnk1/2R2R1p/8/1Pp5/8/6P1/5PKP/8 w - - 19 48,True,48,1,5.6953125,5.6953125
1r2nnk1/1R3R1p/8/1Pp5/8/6P1/5PKP/8 b - - 20 48,False,48,1,5.6953125,5.6953125
3rnnk1/1R3R1p/8/1Pp5/8/6P1/5PKP/8 w - - 21 49,True,49,1,5.6953125,5.6953125
3rnnk1/1R5p/8/1Pp2R2/8/6P1/5PKP/8 b - - 22 49,False,49,1,5.6953125,5.6953125
3r1nk1/1R5p/3n4/1Pp2R2/8/6P1/5PKP/8 w - - 23 50,True,50,1,5.6953125,5.6953125
3r1nk1/1R5p/3n4/1Pp3R1/8/6P1/5PKP/8 b - - 24 50,False,50,1,5.6953125,5.6953125
3r2k1/1R5p/3n2n1/1Pp3R1/8/6P1/5PKP/8 w - - 25 51,True,51,1,5.6953125,5.6953125
3r2k1/7p/1R1n2n1/1Pp3R1/8/6P1/5PKP/8 b - - 26 51,False,51,1,5.6953125,5.6953125
3r2k1/7p/1R4n1/1Pp3R1/4n3/6P1/5PKP/8 w - - 27 52,True,52,1,5.6953125,5.6953125
3r2k1/7p/1R4n1/1Pp2R2/4n3/6P1/5PKP/8 b - - 28 52,False,52,1,5.6953125,5.6953125
4r1k1/7p/1R4n1/1Pp2R2/4n3/6P1/5PKP/8 w - - 29 53,True,53,1,5.6953125,5.6953125
4r1k1/7p/1R4n1/1PpR4/4n3/6P1/5PKP/8 b - - 30 53,False,53,1,5.6953125,5.6953125
4r1k1/7p/1R4n1/1PpR4/8/2n3P1/5PKP/8 w - - 31 54,True,54,1,5.6953125,5.6953125
4r1k1/7p/1R4n1/1Pp3R1/8/2n3P1/5PKP/8 b - - 32 54,False,54,1,5.6953125,5.6953125
5rk1/7p/1R4n1/1Pp3R1/8/2n3P1/5PKP/8 w - - 33 55,True,55,1,5.6953125,5.6953125
5rk1/7p/1R4n1/1Pp3R1/8/2n2PP1/6KP/8 b - - 0 55,False,55,1,5.6953125,5.6953125
3r2k1/7p/1R4n1/1Pp3R1/8/2n2PP1/6KP/8 w - - 1 56,True,56,1,5.6953125,5.6953125
3r2k1/7p/1R4n1/1Pp3R1/7P/2n2PP1/6K1/8 b - - 0 56,False,56,1,5.6953125,5.6953125
3r3k/7p/1R4n1/1Pp3R1/7P/2n2PP1/6K1/8 w - - 1 57,True,57,1,5.6953125,5.6953125
3r3k/7p/1R4n1/1Pp3R1/7P/2n2PPK/8/8 b - - 2 57,False,57,1,5.6953125,5.6953125
3r3k/4n2p/1R6/1Pp3R1/7P/2n2PPK/8/8 w - - 3 58,True,58,1,5.6953125,5.6953125
3r3k/4n2p/4R3/1Pp3R1/7P/2n2PPK/8/8 b - - 4 58,False,58,1,5.6953125,5.6953125
3r3k/4n2p/4R3/1Ppn2R1/7P/5PPK/8/8 w - - 5 59,True,59,1,5.6953125,5.6953125
3r3k/4n2p/1P2R3/2pn2R1/7P/5PPK/8/8 b - - 0 59,False,59,1,5.6953125,5.6953125
3r3k/4n2p/1P2R3/3n2R1/2p4P/5PPK/8/8 w - - 0 60,True,60,1,5.6953125,5.6953125
3r3k/1P2n2p/4R3/3n2R1/2p4P/5PPK/8/8 b - - 0 60,False,60,1,5.6953125,5.6953125
1r5k/1P2n2p/4R3/3n2R1/2p4P/5PPK/8/8 w - - 1 61,True,61,1,5.6953125,5.6953125
1r5k/1P2n2p/3R4/3n2R1/2p4P/5PPK/8/8 b - - 2 61,False,61,1,5.6953125,5.6953125
1r5k/1P2n2p/3R4/3n2R1/7P/2p2PPK/8/8 w - - 0 62,True,62,1,5.6953125,5.6953125
1r5k/1P2n2p/8/3R2R1/7P/2p2PPK/8/8 b - - 0 62,False,62,1,5.6953125,5.6953125
1r5k/1P5p/8/3n2R1/7P/2p2PPK/8/8 w - - 0 63,True,63,1,5.6953125,5.6953125
1r5k/1P5p/8/3R4/7P/2p2PPK/8/8 b - - 0 63,False,63,1,5.6953125,5.6953125
7k/1r5p/8/3R4/7P/2p2PPK/8/8 w - - 0 64,True,64,1,5.6953125,5.6953125
